basis,statement,section,line,order,period_label,period_end,period_type,value,unit,is_subtotal,is_comparative,source_doc,source_page,source_url,note
business_100,balance_sheet,Current assets,Cash and cash equivalents,10,FY2025,2025-03-31,instant,204.1,usd_millions,0,1,4064735,5,https://web.quartr.com/companies/21558?companyId=21558&documentId=4064735&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=5,
business_100,balance_sheet,Current assets,Cash and cash equivalents,10,"As at Mar 31, 2025",2025-03-31,instant,204.1,usd_millions,0,1,4064731,10,https://web.quartr.com/companies/21558?companyId=21558&documentId=4064731&documentType=report&eventId=405757&navigation=external&utm_medium=referral&utm_source=mcp&rp=10,
business_100,balance_sheet,Current assets,Cash and cash equivalents,10,"As at Sep 30, 2025",2025-09-30,instant,30.5,usd_millions,0,0,4064731,10,https://web.quartr.com/companies/21558?companyId=21558&documentId=4064731&documentType=report&eventId=405757&navigation=external&utm_medium=referral&utm_source=mcp&rp=10,
business_100,balance_sheet,Current assets,Cash and cash equivalents,10,"As at Dec 31, 2025",2025-12-31,instant,22.2,usd_millions,0,0,4064733,3,https://web.quartr.com/companies/21558?companyId=21558&documentId=4064733&documentType=report&eventId=411100&navigation=external&utm_medium=referral&utm_source=mcp&rp=3,
business_100,balance_sheet,Current assets,Cash and cash equivalents,10,FY2026,2026-03-31,instant,42.3,usd_millions,0,0,4064735,5,https://web.quartr.com/companies/21558?companyId=21558&documentId=4064735&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=5,
business_100,balance_sheet,Current assets,Cash and cash equivalents,10,"As at Mar 31, 2026",2026-03-31,instant,42.3,usd_millions,0,1,3693795,2,https://web.quartr.com/companies/21558?companyId=21558&documentId=3693795&documentType=report&eventId=681828&navigation=external&utm_medium=referral&utm_source=mcp&rp=2,
business_100,balance_sheet,Current assets,Cash and cash equivalents,10,"As at Jun 30, 2026",2026-06-30,instant,69.1,usd_millions,0,0,3693795,2,https://web.quartr.com/companies/21558?companyId=21558&documentId=3693795&documentType=report&eventId=681828&navigation=external&utm_medium=referral&utm_source=mcp&rp=2,
business_100,balance_sheet,Current assets,Trade and accrued receivables,20,FY2025,2025-03-31,instant,76.7,usd_millions,0,1,4064735,5,https://web.quartr.com/companies/21558?companyId=21558&documentId=4064735&documentType=report&eventId=554427&navigation=external&utm_medium=referral&utm_source=mcp&rp=5,
business_100,balance_sheet,Current assets,Trade and accrued receivables,20,"As at Mar 31, 2025",2025-03-31,instant,76.7,usd_millions,0,1,4064731,10,https://web.quartr.com/companies/21558?companyId=21558&documentId=4064731&documentType=report&eventId=405757&navigation=external&utm_medium=referral&utm_source=mcp&rp=10,
business_100,balance_sheet,Current assets,Trade and accrued receivables,20,"As at Sep 30, 2025",2025-09-30,instant,49.8,usd_millions,0,0,4064731,10,https://web.quartr.com/companies/21558?companyId=21558&documentId=4064731&documentType=report&eventId=405757&navigation=external&utm_medium=referral&utm_source=mcp&rp=10,
